County,Los Angeles,San Francisco,San Diego,Orange,Alameda,Santa Clara,San Mateo,Sacramento,Riverside,Contra Costa,All Other Counties
Total PM2.5,"1,141,408.52","248,936.88","271,388.51","220,813.94","125,024.33","136,737.38","133,344.55","56,918.28","52,121.79","51,412.97","212,810.62"
PM2.5 per Square Mile,281.2,"5,306.2",64.5,278.5,169.5,105.9,297.2,59.0,7.2,71.7,1.6
