NAME20,Los Angeles,San Francisco,San Diego,Orange,Alameda,Santa Clara,San Mateo,Sacramento,Riverside,Contra Costa,All Other Counties
Trips,114906490,38527207,24644341,19012945,15563569,14591633,10276245,7348831,4997066,4889779,22439464
Trips per Square Mile,28306.96,821223.79,5853.41,23980.65,21104.13,11301.79,22906.2,7613.19,693.14,6820.41,165.75
