date,9/1/2019,9/2/2019,9/3/2019,9/4/2019,9/5/2019,9/6/2019,9/7/2019,9/8/2019,9/9/2019,9/10/2019,9/11/2019,9/12/2019,9/13/2019,9/14/2019,9/15/2019,9/16/2019,9/17/2019,9/18/2019,9/19/2019,9/20/2019,9/21/2019,9/22/2019,9/23/2019,9/24/2019,9/25/2019,9/26/2019,9/27/2019,9/28/2019,9/29/2019,9/30/2019,10/1/2019,10/2/2019,10/3/2019,10/4/2019,10/5/2019,10/6/2019,10/7/2019,10/8/2019,10/9/2019,10/10/2019,10/11/2019,10/12/2019,10/13/2019,10/14/2019,10/15/2019,10/16/2019,10/17/2019,10/18/2019,10/19/2019,10/20/2019,10/21/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019,10/26/2019,10/27/2019,10/28/2019,10/29/2019,10/30/2019,10/31/2019,11/1/2019,11/2/2019,11/3/2019,11/4/2019,11/5/2019,11/6/2019,11/7/2019,11/8/2019,11/9/2019,11/10/2019,11/11/2019,11/12/2019,11/13/2019,11/14/2019,11/15/2019,11/16/2019,11/17/2019,11/18/2019,11/19/2019,11/20/2019,11/21/2019,11/22/2019,11/23/2019,11/24/2019,11/25/2019,11/26/2019,11/27/2019,11/28/2019,11/29/2019,11/30/2019,12/1/2019,12/2/2019,12/3/2019,12/4/2019,12/5/2019,12/6/2019,12/7/2019,12/8/2019,12/9/2019,12/10/2019,12/11/2019,12/12/2019,12/13/2019,12/14/2019,12/15/2019,12/16/2019,12/17/2019,12/18/2019,12/19/2019,12/20/2019,12/21/2019,12/22/2019,12/23/2019,12/24/2019,12/25/2019,12/26/2019,12/27/2019,12/28/2019,12/29/2019,12/30/2019,12/31/2019,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020
Uber,0,0,0,0,0,0,0,0,"1,414,433","160,566","166,829","178,434","191,973","168,418","137,446","151,078","156,699","164,061","176,852","188,774","170,275","131,299","148,503","148,526","162,259","174,012","191,967","172,485","137,650","140,906",0,0,0,0,0,0,0,0,0,"1,580,696","182,160","169,687","133,391","139,849","147,586","156,588","168,572","183,735","168,158","130,470","144,432","149,681","156,190","169,720","183,327","173,632","133,712","138,157","145,970","153,248","169,879",0,0,0,0,0,0,0,0,0,"141,292","1,657,913","155,488","162,237","172,234","195,096","182,536","144,421","156,346","162,423","165,514","181,856","197,794","181,077","143,419","150,786","158,390","157,711","97,061","124,576","142,505",0,0,0,0,0,0,0,0,0,"159,990","169,297","1,631,819","201,134","183,986","141,191","147,133","154,698","163,321","173,511","189,377","172,200","136,236","135,402","112,150","71,023","119,821","151,683","153,890","124,717","138,162","169,541","1,300,874",0,0,0,0,0,0,0,0,"182,221","167,483","132,784","153,210","158,770","164,694","168,917","182,450","164,315","128,693","132,019","154,659","159,865","167,160","178,911","162,349","126,891","151,958","156,093","161,406","169,533","182,182",0,"1,539,981",0,0,0,0,0,0,0,"161,999","168,144","175,001","185,241","196,166","170,987","137,059","136,470","161,753","168,946","178,391","194,502","173,911","134,831","158,894","165,917","167,665","176,923","189,054","169,644",0,0,"1,817,647",0,0,0,0,0,0,"192,704","197,856","194,123","196,336","171,022","132,253","141,987","131,609","125,746","116,674","96,694","82,624","65,716","86,506","83,034","82,126","77,784","74,112","62,258","49,538","62,495","61,369",0,0,0,"835,358",0,0,0,0,0,"86,542","78,445","56,871","83,510","84,808","77,448","81,183","82,176","73,517","57,090","77,765","83,112","85,963","85,497","84,217","74,970","58,439","79,691","81,517","83,938","83,988",0,0,0,0,"686,836",0,0,0,0,"51,578","71,571","79,562","81,853","83,380","85,042","75,633","58,205","72,903","79,711","82,493","84,665","88,351","79,529","62,615","65,989","77,536","81,807","84,494","90,028","80,209","56,863",0,0,0,0,0,"706,855",0,0,0,"87,572","90,152","100,350","93,857","71,981","81,464","87,979","91,678","94,591","104,999","95,451","67,824","82,193","88,395","92,553","95,949","105,948","97,594","74,521","85,029","86,564",0,0,0,0,0,0,"804,676",0,0,"103,207","92,411","73,071","86,345","88,407","90,772","95,083","101,629","92,991","71,966","86,267","90,760","94,623","98,051","106,150","98,008","74,136","92,563","96,455","100,292","101,720","106,624",0,0,0,0,0,0,0,"886,404",0,"98,023","102,663","107,931","113,605","123,429","113,610","90,207","103,208","106,724","113,264","115,805","116,699","109,883","85,712","101,620","105,547","110,073","114,581","125,192","115,340","90,427","104,640"
Lyft,"194,175","165,908","213,394","229,481","244,368","273,690","239,026","181,009","210,810","221,576","230,977","243,475","270,330","233,647","174,504","204,397","215,959","225,625","240,737","264,523","228,536","169,176","201,130","214,864","223,605","236,469","263,746","224,787","171,251","193,630","209,671","221,059","232,961","258,546","224,339","165,812","193,031","204,068","213,402","231,709","254,310","224,000","168,844","188,343","203,455","216,469","230,540","257,420","224,282","165,109","198,654","208,683","218,659","235,200","263,920","238,184","165,904","196,144","209,933","221,072","241,122","252,648","222,413","176,227","208,118","215,311","222,511","237,182","259,213","224,174","170,801","177,471","206,003","213,987","230,945","254,809","224,788","168,020","195,233","203,952","210,712","226,007","254,284","222,636","165,705","205,668","217,749","218,023","123,719","177,235","202,704","178,727","216,602","218,403","215,712","234,367","263,018","227,212","166,002","203,552","214,629","221,315","233,199","253,944","220,713","157,929","195,242","210,301","220,161","230,096","250,163","217,304","168,099","188,184","155,016","94,326","165,160","209,002","207,828","164,479","197,818","218,765","145,958","190,383","229,582","216,792","167,051","207,856","213,486","227,403","239,494","266,670","230,895","172,358","222,884","234,173","241,012","252,207","278,582","244,290","181,608","195,453","230,395","239,786","252,091","277,052","245,583","181,093","222,135","234,771","244,226","257,702","286,417","251,189","201,840","209,819","229,411","239,538","251,039","279,363","242,938","176,700","220,618","231,239","242,096","255,515","277,353","231,777","180,094","186,639","222,366","236,705","250,979","279,131","239,840","175,181","217,647","227,334","232,853","247,378","272,888","235,071","173,189","212,523","219,598","226,782","245,544","264,694","223,126","154,782","198,130","205,120","213,044","209,774","215,714","177,701","133,856","161,038","134,300","133,261","123,234","101,493","83,812","64,797","86,224","84,035","81,887","77,442","74,860","60,939","48,733","63,758","63,038","61,931","60,968","60,455","50,382","40,672","51,222","51,823","53,509","52,093","51,702","45,565","34,263","48,265","49,117","47,412","47,943","49,038","41,811","33,294","44,858","46,883","47,685","47,084","47,884","40,892","32,989","44,870","45,890","46,720","47,402","48,617","40,566","32,051","43,619","45,986","46,337","47,056","49,244","41,441","29,749","42,942","46,035","47,118","48,022","50,398","41,406","31,985","43,791","45,951","47,286","48,758","50,662","42,270","32,605","36,560","45,754","48,414","50,388","55,728","45,593","27,331","42,019","46,632","50,437","51,283","52,914","48,076","36,772","50,357","60,357","61,528","62,778","67,255","60,259","47,226","61,433","60,671","63,189","64,955","70,488","62,825","42,413","54,577","62,443","61,720","62,575","68,515","61,964","43,590","56,983","59,895","61,253","65,398","65,612","52,701","43,364","54,209","59,314","60,264","63,064","68,993","63,576","48,236","57,400","58,279","59,136","60,904","67,234","60,183","48,057","57,354","60,123","62,554","63,802","65,855","58,517","44,376","53,899","58,149","60,638","63,500","66,218","60,932","47,510","55,941","57,656","60,311","62,520","70,278","62,942","47,712","57,769","62,799","63,388","66,755","67,825","59,034","44,990","55,130","59,094","63,263","61,174","66,755","60,130","44,019","58,737","63,082","63,241","66,925","73,495","66,943","51,728","57,284"
