Report Name,Accessibility Report (Confidential),Accessibility Report (Public),Accessibility Complaints (Confidential),Accessibility Complaints (Pub),Accidents & Incidents,Assaults & Harassments,"50,000+ Miles",Number of Hours,Number of Miles,Driver Training,Law Enforcement Citations,Off-platform Solicitation,Aggregated Requests Accepted,Requests Accepted,Aggregated Requests Not Accepted,Requests Not Accepted,Suspended Drivers,Total Violations & Incidents,Zero Tolerance
Uber,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Lyft,1.00,1.00,1.00,1.00,0.87,0.79,0.57,1.00,1.00,1.00,0.81,0.80,1.00,0.26,1.00,0.38,1.00,1.00,0.82
