County Name,Los Angeles,San Francisco,San Diego,Orange,Alameda,Santa Clara,San Mateo,Sacramento,Riverside,Contra Costa,All Other Counties
"Assaults per 100,000 Trips",7.31,4.83,6.65,7.08,6.86,9.24,3.84,11.69,9.99,7.34,8.74
"Collisions per 100,000 Trips",10.9,9.51,6.67,7.21,9.38,6.94,7.58,10,9.05,8.53,7.38
"DUI per 100,000 Trips",5.98,3.15,5.04,6.05,5.58,3.61,3.83,8.34,6.9,6.28,6.68
