Company,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00
Uber,0.004,0.006,0.010,0.018,0.038,0.066,0.064,0.050,0.047,0.047,0.052,0.054,0.066,0.069,0.079,0.086,0.065,0.046,0.045,0.033,0.022,0.015,0.011,0.010
Lyft,0.033,0.027,0.029,0.032,0.030,0.037,0.032,0.025,0.020,0.027,0.027,0.035,0.052,0.061,0.065,0.053,0.053,0.051,0.042,0.051,0.053,0.057,0.058,0.050
Uber Trips,0.009,0.010,0.015,0.023,0.037,0.048,0.050,0.048,0.048,0.048,0.050,0.054,0.058,0.059,0.063,0.063,0.058,0.053,0.052,0.048,0.039,0.029,0.022,0.015
