Company,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00
Uber,0.027,0.019,0.014,0.000,0.032,0.032,0.036,0.034,0.032,0.041,0.041,0.034,0.050,0.075,0.041,0.050,0.044,0.036,0.046,0.072,0.055,0.063,0.070,0.056
Lyft,0.047,0.047,0.039,0.040,0.026,0.021,0.015,0.013,0.013,0.014,0.019,0.043,0.050,0.049,0.044,0.048,0.048,0.051,0.055,0.068,0.065,0.064,0.064,0.061
Uber Trips,0.009,0.010,0.015,0.023,0.037,0.048,0.050,0.048,0.048,0.048,0.050,0.054,0.058,0.059,0.063,0.063,0.058,0.053,0.052,0.048,0.039,0.029,0.022,0.015
