,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Uber Avg Pre-COVID,631034.4833,682130.4333,682204.4417,744079.3,928283.9417,881804.5417,583052.7667
Uver Avg COVID,140504.5056,137913.8333,142446.8083,146849.8,171021.425,155145.9111,118387.1333
