Hour,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00
Uber Pre-COVID,5231.6,7116.541667,11515.2,18113.55,30951.425,41272.41667,41228.46667,37914.33333,37169.00833,38007.125,39978.75833,42972.4,47936.76667,51210.75833,56192.04167,60764.85833,59256.04167,52800.48333,53546.525,55106.96667,48300.49167,37460.29167,31936.00833,22301.88333
Uber COVID,1400.05,1892.05,3153.183333,4832.916667,6469.175,7930.816667,8379.2,8629.608333,8723.425,8915.958333,9494.75,10184.29167,10525.23333,10466.63333,10005.125,9184.491667,8576.333333,8096.225,7814.808333,7626.433333,6602.875,5163.233333,3979.516667,2975.091667
