Hour,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00
Uber Pre-Pandemic,4085.016667,6315.083333,10709.9,17728.79444,31719.23056,41809.49167,40250.22222,35179.74167,33314.825,34031.225,35210.63611,37889.28611,41567.46667,42564.86111,46373.50556,46730.37222,41314.75833,36473.23333,34940.57222,30317.08611,21686.5,14966.93889,10589.55278,7036.425
Uber Pandemic,1265.012037,1793.133333,3019.693519,4661.836111,6380.886111,7847.876852,8150.333333,8244.325926,8108.302778,8229.978704,8838.948148,9429.92963,9589.378704,9297.438889,8555.556481,7214.896296,6216.309259,5631.386111,5272.42963,4870.243519,3851.657407,2684.441667,1840.772222,1408.713889
